,EVENT_ID,COUNTY
2077,808890,SEVIER
2078,808894,CHEROKEE
2079,808896,CHEROKEE
2081,812121,TIPPAH
2082,812122,HARDIN
2084,818932,CHOUTEAU
2085,818921,MEAGHER
2100,811706,BUCKS
2101,811707,BUCKS
2116,808298,Levy
2118,808310,Charlotte
2119,811432,PINELLAS
2120,811493,SUMTER
2121,805149,ORANGE
2127,808397,Duval
2136,811495,HILLSBOROUGH
2137,819299,Brevard
2144,832396,Pinellas
2145,832397,Pinellas
2146,832403,Pinellas
2147,826065,PULASKI
2148,826067,WHITLEY
2149,826068,MAGOFFIN
2150,808398,St. Johns
2151,811508,Hillsborough
2158,805148,SAN DIEGO
2167,826077,BELL
2168,826078,MONTGOMERY
2169,826079,BREATHITT
2170,826081,BREATHITT
2171,808400,Flagler
2190,792082,CLAY
2191,792085,HENRY
2192,801605,LONOKE
2197,826070,FLEMING
2198,826071,PULASKI
2199,826073,MCCREARY
2209,826082,MORGAN
2210,826086,KNOX
2211,826087,BELL
2212,826915,BATH
2213,827486,BELL
2217,808312,Pinellas
2227,803595,YELL
2228,803599,YELL
2229,827487,KNOX
2230,828280,LETCHER
2231,832934,GALLATIN
2232,832935,MASSAC
2236,808241,ALACHUA
2238,828727,Manatee
2239,828729,Hillsborough
2240,828759,HILLSBOROUGH
2241,828761,HILLSBOROUGH
2242,828762,LEVY
2243,828763,SUMTER
2244,828953,Manatee
2245,828992,Pinellas
2246,797942,POSEY
2247,797943,UNION
2248,797945,LIVINGSTON
2249,797946,MCCRACKEN
2250,797947,MUHLENBERG
2251,797948,CAPE GIRARDEAU
2252,797949,NEW MADRID
2266,803607,OUACHITA
2267,803609,CLARK
2268,803614,PERRY
2269,803616,WOODRUFF
2270,803619,WOODRUFF
2271,832936,WHITE
2272,832938,WHITE
2273,832939,WABASH
2280,829283,Pasco
2281,829337,Manatee
2282,829339,Hillsborough
2283,829412,Pinellas
2284,829414,Levy
2285,829449,Hillsborough
2286,829450,Sarasota
2290,795652,Bristol
2308,808308,Citrus
2309,803687,MONROE
2310,803688,WOODRUFF
2311,803693,OUACHITA
2312,803698,WHITE
2313,817189,CLERMONT
2314,817190,CLERMONT
2315,817191,BROWN
2316,817192,BROWN
2317,828996,Pinellas
2318,828997,Pinellas
2319,829008,Sarasota
2320,829235,SARASOTA
2321,829263,Pinellas
2322,829266,HILLSBOROUGH
2323,829269,Sarasota
2329,829512,Pinellas
2330,829513,Pinellas
2331,829514,Pinellas
2332,829515,Hillsborough
2333,829517,Manatee
2334,829518,Hillsborough
2335,829521,Pinellas
2336,832103,Pinellas
2337,832104,Hillsborough
2338,814293,POLK
2361,817193,BROWN
2363,803813,Monroe
2364,817195,HIGHLAND
2365,817196,HIGHLAND
2369,832105,CITRUS
2370,832106,CITRUS
2371,832390,Lee
2372,832391,Lee
2373,832392,Hillsborough
2374,832394,Hillsborough
2376,814294,POLK
2380,808315,Pinellas
2381,801335,PERRY
2399,803814,
2400,803815,
2401,803816,Monroe
2402,803817,Monroe
2403,817197,HIGHLAND
2404,817201,ROSS
2405,817202,ROSS
2406,817206,CARROLL
2407,817208,GALLATIN
2408,817212,CAMPBELL
2409,817213,CAMPBELL
2410,817214,CAMPBELL
2411,817236,DARKE
2413,808313,Pinellas
2415,817237,DARKE
2416,817239,MIAMI
2434,803818,Monroe
2444,808399,St. Johns
2447,817244,LOGAN
2448,817245,LOGAN
2449,817248,UNION
2450,817251,LICKING
2451,817252,LICKING
2452,817253,SWITZERLAND
2453,817255,ROSS
2454,817256,ROSS
2455,817257,HOCKING
2456,817258,ROSS
2459,795750,Volusia
2481,808242,FLAGLER
2486,811497,POLK
2487,811498,PINELLAS
2488,811499,Levy
2489,835173,BEXAR
2490,835176,BEXAR
2491,835177,BEXAR
2492,800882,LAWRENCE
2493,795751,Volusia
2494,795752,Brevard
